id,title,place,description,siteUrl,favoritesCount,commentsCount,rating
51280,"Netflix заказал мультсериал по «Сумеркам»","","<p>В основу ляжет роман, написанный от лица Эдварда Каллена.</p>",https://kudago.com/all/news/netflix-zakazal-multserial-po-sumerkam/,0,0,0.5
51279,"«Убийства в одном здании» получили пятый сезон","","<p>Сейчас транслируют четвёртый.</p>",https://kudago.com/all/news/ubijstva-v-odnom-zdanii/,0,0,0.5
51278,"Проект VK Места выпустил фильм о Санкт-Петербурге","","<p>Ведущие побывали в старинных дворцах и современных музеях.</p>",https://kudago.com/spb/news/proekt-vk-mesta-vyipustil-film-o/,0,0,0.5
51277,"Стало известно, когда в Петербурге внедрят новые способы оплаты проезда","","<p>Их тестирование начнётся осенью.</p>",https://kudago.com/spb/news/kogda-v-peterburge-vnedryat-novye-sposoby-oplaty-proezda/,0,0,0.5
51274,"Строительство ВСМ между Москвой и Петербургом собираются начать в сентябре","","<p>На её прокладку намерены потратить не более пяти лет.</p>",https://kudago.com/all/news/stroitelstvo-vsm-moskva-/,0,0,0.5
51272,"Критики выбрали 100 лучших эпизодов из американских сериалов","","<p>В топ попали не только современные шоу, но и классика ТВ. </p>",https://kudago.com/all/news/100-luchshih-epizodov-iz-amerikanskih-serialov/,0,0,0.5
51269,"Главный штаб закроют на три дня","","<p>Остальные музейные пространства Эрмитажа работают по привычному графику.</p>",https://kudago.com/spb/news/glavnyij-shtab-zakroyut-na-tri-dnya/,0,0,0.5
51268,"Новая книга Виктора Пелевина выйдет в этом году","","<p>Писатель скрасил ожидание фанатов специальным плейлистом.</p>",https://kudago.com/all/news/novaya-kniga-viktora-pelevina/,0,0,0.5
51266,"В России начнут проводить школьные олимпиады по труду","","<p>Первая состоится в этом году.</p>",https://kudago.com/all/news/v-rossii-nachnut-provodit/,0,0,0.5
51265,"В Петербурге первоклассникам подарят билеты в кино","","<p>С собой предлагают взять одного из родителей.</p>",https://kudago.com/spb/news/v-peterburge-pervoklassnikam/,0,0,0.5
51263,"Вышел трейлер нового сериала с Николь Кидман","","<p>В проекте приняли участие Лив Шрайбер и Дакота Фаннинг. </p>",https://kudago.com/all/news/vyishel-trejler-novogo-seriala-s/,0,0,0.5
51260,"Фандом Фест опубликовал финальную программу фестиваля","","<p>В ней — встречи с авторами и выступления известных артистов.</p>",https://kudago.com/all/news/finalnaya-programma-fandom-festa/,0,0,0.5
51257,"Появился новый тизер фильма «Джокер: Безумие на двоих»","","<p>Также студия опубликовала новый постер и фрагмент из ленты.</p>",https://kudago.com/all/news/vyishel-novyij-tizer-dzhokera/,0,0,0.5
